,favour,against,sentements,data,isPolitical,user,language,sentiments,Hindi,Political,Tag
1,[],[],"[""Offensive""]",इस औरत के दिमाग के आगे तो  लुटेरे भी फैल हो गये।,False,anshuman,Hindi,Offensive,इस औरत के दिमाग के आगे तो लुटेरे भी फैल हो गये,0,0
2,[],[],"[""Offensive""]",Bagaladesi aur ghuspaithi nhi chahiye,True,anshuman,Hindi,Offensive,Bagaladesi aur ghuspaithi nhi chahiye,1,0
3,[],[],"[""Spam"",""Offensive""]","*O. M. G full HD sex*
 

*WATCH LIVE BOOBS*


*कमरे के बाहर कीया सेक्स देखिए वीडियो*
*Girlfriend hot videos*


*FADU  SEXxx*
*AWESOME FUCK*


",False,anshuman,Hindi,Offensive,full HD sex WATCH LIVE BOOBSकमरे के बाहर कीया सेक्स देखिए वीडियोGirlfriend hot videosFADU SEXxxAWESOME FUCK,0,0
4,[],[],[],Democracy ka fayda ap bhi uthao,True,anshuman,Hindi,Others,Democracy ka fayda ap bhi uthao,1,1
5,[],[],"[""Others""]","सूत्रों के मुताबिक भारतीय वायुसेना ने पहले करीब 5 किलो टमाटर फेंके और जैसे ही कंगले बाहर टमाटर लूटने निकले, बम मार दिए.",False,anshuman,Hindi,Others,सूत्रों के मुताबिक भारतीय वायुसेना ने पहले करीब किलो टमाटर फेंके और जैसे ही कंगले बाहर टमाटर लूटने निकले बम मार दिए,0,1
6,[],[],"[""Offensive""]",कहाँ से इनको पकड़ा है भाई तुम लोगो ने,False,anshuman,Hindi,Offensive,कहाँ से इनको पकड़ा है भाई तुम लोगो ने,0,0
7,[],[],"[""Offensive""]",Teri oukat nhi h be,False,anshuman,Hindi,Offensive,Teri oukat nhi be,0,0
8,[],[],"[""Others""]","पुलवामा: झड़प में 8 पत्थरबाजों की मौत, 9 की हालत गंभीर, 50 से ज्यादा घायल, 3 आतंकी भी ढेर

Source : ""Tech Duniya"" via Dailyhunt

डाउनलोड करें:
",True,anshuman,Hindi,Others,पुलवामा झड़प में पत्थरबाजों की मौत की हालत गंभीर 50 से ज्यादा घायल आतंकी भी ढेरSource Tech Duniya via Dailyhuntडाउनलोड करें,1,1
11,"[""INC""]",[],[],कांग्रेस मे ऐसे महिलाओं को न्याय सम्मान और सुरक्षा मिलेगी,True,anup,Hindi,Others,कांग्रेस मे ऐसे महिलाओं को न्याय सम्मान और सुरक्षा मिलेगी,1,1
13,"[""BJP""]",[],[],"तुम जल जल के मर जाओगे
जलजला हम रुकने न देगे
मोदी देश नही झुकने देगा
हम #मोदी को नही झुकने देगे 
#NamoAgain2019",True,anup,Hindi,Others,तुम जल जल के मर जाओगेजलजला हम रुकने देगेमोदी देश नही झुकने देगाहम मोदी को नही झुकने देगे NamoAgain2019,1,1
14,[],[],"[""Others""]",इस लिए टारगेट हिसाब से लेना चाहिए।,False,anup,Hindi,Others,इस लिए टारगेट हिसाब से लेना चाहिए,0,1
16,[],[],"[""Others""]","*आगे तो ईंट घिसते ही थे,*
*अब पीछे पत्थर घिसने की आदत भी डाल लो मियां...*

*#पानी_बंद*
",False,anup,Hindi,Others,आगे तो ईंट घिसते ही थे अब पीछे पत्थर घिसने की आदत भी डाल लो मियां पानी_बंद,0,1
17,[],[],"[""Others""]",Ache se ghum sakti thi,False,anup,Hindi,Others,Ache se ghum sakti thi,0,1
18,[],[],"[""Others""]",जय श्री रामरामनवमी के पावन पर्व पर आप सभी को बहुत बहुत बधाई।मा दुर्गा भवानी आप सभी की मनोकामना पूर्ण करे।,False,anup,Hindi,Others,जय श्री रामरामनवमी के पावन पर्व पर आप सभी को बहुत बहुत बधाईमा दुर्गा भवानी आप सभी की मनोकामना पूर्ण करे,0,1
19,[],[],"[""Others""]","*#इतिहास*

*रावण ने भी अपनी बहन शूर्पणखा को आगे किया था* 

*परिणाम क्या हुआ* ?

*बहन की नाक कट गई और अंत में भाई पराजित हुआ*!
     ।। हरि ॐ ।।",False,anup,Hindi,Others,इतिहासरावण ने भी अपनी बहन शूर्पणखा को आगे किया था परिणाम क्या हुआ बहन की नाक कट गई और अंत में भाई पराजित हुआ हरि,0,1
20,"[""INC""]",[],[],"ये जो कांग्रेस का तुम लोग मजाक बनाते हो ना ....

देख लेना एक दिन ये विलुप्त हो जायेगी और फिर कभी अपनी शक्ल भी नहीं दिखायेगी
",True,anup,Hindi,Others,ये जो कांग्रेस का तुम लोग मजाक बनाते हो ना देख लेना एक दिन ये विलुप्त हो जायेगी और फिर कभी अपनी शक्ल भी नहीं दिखायेगी,1,1
23,[],[],"[""Advertisement""]","
#eduction #news 
Ntv time 
Janata ko bat janta ke sath",True,anup,Hindi,Advertisement,eduction news Ntv time Janata ko bat janta ke sath,1,2
24,"[""Others""]",[],[],"नीतीश भैय्या .... 18 पॉइंट्स और उनके लिंक्स हैं.... जिनमे 5 ही सिर्फ हिंदुस्तान टाइम्स और द हिन्दू से है.... और बाकी....
",True,anup,Hindi,Others,नीतीश भैय्या 18 पॉइंट्स और उनके लिंक्स हैं जिनमे ही सिर्फ हिंदुस्तान टाइम्स और हिन्दू से है और बाकी,1,1
25,"[""BJP""]",[],[],"मोदी live भागलपुर बिहार 
सुरज निकलेगा ,कमल खिलेगा , 
    मोदी जीतेगा ...

विप्र",True,anup,Hindi,Others,मोदी live भागलपुर बिहार सुरज निकलेगा कमल खिलेगा मोदी जीतेगा विप्र,1,1
26,[],[],"[""Others""]",Dhyan se sunna dosto,False,anup,Hindi,Others,Dhyan se sunna dosto,0,1
28,"[""Others""]","[""BJP""]",[],"जल कर रहेगी भाजपा की लंका 
पूरे देश में बजेगा अखिलेश यादव जी का डंका
",True,anup,Hindi,Others,जल कर रहेगी भाजपा की लंका पूरे देश में बजेगा अखिलेश यादव जी का डंका,1,1
29,[],"[""INC""]",[],"कफननाथ पर जल्द गिरेगी गाज,

इतना छोटा घोटाला कर कांग्रेस की गरिमा को ठेश पहुंचाने के लिये",False,anup,Hindi,Others,कफननाथ पर जल्द गिरेगी गाज इतना छोटा घोटाला कर कांग्रेस की गरिमा को ठेश पहुंचाने के लिये,0,1
30,[],"[""BJP""]","[""Offensive""]","*चौकीदार चोर है  बाबा हरामखोर है सीबीआई रिश्वतखोर है*
 *बोलो चौकीदार चोर है*

* चौकीदार चोर है भक्त हराम खोर है*",True,anup,Hindi,Offensive,चौकीदार चोर है बाबा हरामखोर है सीबीआई रिश्वतखोर है बोलो चौकीदार चोर है चौकीदार चोर है भक्त हराम खोर है,1,0
31,[],[],"[""Others""]","किसी को पता है,गलतियों पर डालने वाला पर्दा कहाँ मिलता है..?

और कितना मीटर लेना पड़ेगा..?? 
जस्ट पुछिँग ",False,anup,Hindi,Others,किसी को पता है गलतियों पर डालने वाला पर्दा कहाँ मिलता है और कितना मीटर लेना पड़ेगा जस्ट पुछिँग,0,1
32,[],[],"[""Advertisement""]","जॉन अब्राहम की फिल्म 'रॉः रोमियो, अकबर वाल्टर' का टीजर हुआ रिलीज

via Dailyhunt

डाउनलोड करें:
",False,anup,Hindi,Advertisement,जॉन अब्राहम की फिल्म रॉः रोमियो अकबर वाल्टर का टीजर हुआ रिलीजvia Dailyhuntडाउनलोड करें,0,2
33,"[""INC""]",[],[],बार बार कांग्रेस सरकार ही सफाई कर्मचारी का Samman karti hai,True,anup,Hindi,Others,बार बार कांग्रेस सरकार ही सफाई कर्मचारी का Samman karti hai,1,1
34,[],[],[],"1975 इमरजेंसी,1984 सिख दंगे,1989 कश्मीर पंडितों का कत्ल तब देश में सब ठीक था
जैसे ही 800आतंकी मारे गए 
साला संविधान खतरे मे पड गया",True,anup,Hindi,Others,1975 इमरजेंसी1984 सिख दंगे1989 कश्मीर पंडितों का कत्ल तब देश में सब ठीक थाजैसे ही 800आतंकी मारे गए साला संविधान खतरे मे पड गया,1,1
35,"[""BJP""]","[""INC""]",[],"राहुल गाँधी कहते हैं भाजपा को हराना है और खुद वायनाड जाते हैं जहां भाजपा है ही नही
!
काग्रेंस अपने सेनापति की बहादुरी तो देखे 

",True,anup,Hindi,Others,राहुल गाँधी कहते हैं भाजपा को हराना है और खुद वायनाड जाते हैं जहां भाजपा है ही नही काग्रेंस अपने सेनापति की बहादुरी तो देखे,1,1
36,[],[],"[""Offensive""]",Jal gayi kya bhosdiwale,False,anup,Hindi,Offensive,Jal gayi kya bhosdiwale,0,0
37,[],[],[],"बंगाल मे भारतीय सेना कोई अभ्यास नही कर सकती CBI कोई कार्यवाही नही कर सकती , क्या बंगाल अघोसित तौर पर काश्मिर की तरह विषेश राज्य का दर्जा ले चुका हैं",True,anup,Hindi,Others,बंगाल मे भारतीय सेना कोई अभ्यास नही कर सकती CBI कोई कार्यवाही नही कर सकती क्या बंगाल अघोसित तौर पर काश्मिर की तरह विषेश राज्य का दर्जा ले चुका हैं,1,1
38,"[""BJP""]",[],[],Sunny pa ji ki road so,True,anup,Hindi,Others,Sunny pa ji ki road so,1,1
39,[],[],"[""Offensive""]",मुझे अभी भी जानकारी मिली है कि कोई पाकिस्तानी मादर चोद गया इस ग्रुप से,False,anup,Hindi,Offensive,मुझे अभी भी जानकारी मिली है कि कोई पाकिस्तानी मादर चोद गया इस ग्रुप से,0,0
